"movie_id","movie_name","movie_distributor","movie_genre"
"Thriller-or-Suspense_2000_1","What Lies Beneath","Dreamworks SKG","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_2","Unbreakable","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_3","The Cell","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_4","Vertical Limit","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_5","Frequency","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_6","The Talented Mr. Ripley","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_7","The Skulls","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_8","The Art of War","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_9","Bless the Child","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_10","The Watcher","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_11","The Ninth Gate","Artisan","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_12","The Sixth Sense","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_13","Lost Souls","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_14","Eye of the Beholder","Destination Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_15","Supernova","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_16","The In Crowd","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_17","The Bone Collector","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_18","Blood Simple","USA Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_19","Trois","Rainforest Produc…","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_20","Du rififi chez les hommes","","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_21","Deterrence","","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_22","With a Friend Like Harry","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_23","Lola rennt","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_24","Taboo","","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_25","The Gift","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_26","The Thomas Crown Affair","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_27","Buddy Boy","Fine Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_28","Circus","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_29","The Quarry","First Run Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_30","Brown's Requiem","Avalanche Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2000_31","Placebo Effect","Phaedra Cinema","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_1","Ocean's Eleven","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_2","Vanilla Sky","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_3","Training Day","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_4","Along Came a Spider","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_5","The Score","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_6","Don’t Say a Word","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_7","Domestic Disturbance","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_8","From Hell","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_9","Memento","Newmarket Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_10","15 Minutes","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_11","Joy Ride","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_12","The Glass House","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_13","Vertical Limit","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_14","Original Sin","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_15","The Tailor of Panama","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_16","The Gift","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_17","Antitrust","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_18","The Deep End","Fox Searchlight","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_19","Unbreakable","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_20","With a Friend Like Harry","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_21","Impostor","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_22","Brigham City","Excel Entertainment","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_23","Brother","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_24","Taboo","","Thriller-or-Suspense"
"Thriller-or-Suspense_2001_25","Une affaire de goût","Attitude Films","Thriller-or-Suspense"
