"movie_id","movie_name","movie_distributor","movie_genre"
"Action_2000_1","Mission: Impossible 2","Paramount Pictures","Action"
"Action_2000_2","Gladiator","Dreamworks SKG","Action"
"Action_2000_3","X-Men","20th Century Fox","Action"
"Action_2000_4","Charlie's Angels","Sony Pictures","Action"
"Action_2000_5","Gone in 60 Seconds","Walt Disney","Action"
"Action_2000_6","U-571","Universal","Action"
"Action_2000_7","Shaft","Paramount Pictures","Action"
"Action_2000_8","Romeo Must Die","Warner Bros.","Action"
"Action_2000_9","The 6th Day","Sony Pictures","Action"
"Action_2000_10","Proof of Life","Warner Bros.","Action"
"Action_2000_11","Reindeer Games","Miramax","Action"
"Action_2000_12","Battlefield Earth: A Saga o…","Warner Bros.","Action"
"Action_2000_13","Red Planet","Warner Bros.","Action"
"Action_2000_14","Bait","Warner Bros.","Action"
"Action_2000_15","Crouching Tiger, Hidden Dragon","Sony Pictures Cla…","Action"
"Action_2000_16","Highlander: Endgame","Miramax/Dimension","Action"
"Action_2000_17","The Legend of Drunken Master","Miramax","Action"
"Action_2000_18","Godzilla 2000","Sony Pictures","Action"
"Action_2000_19","The World is Not Enough","MGM","Action"
"Action_2000_20","The Way of the Gun","Artisan","Action"
"Action_2000_21","End of Days","Universal","Action"
"Action_2000_22","Double Jeopardy","Paramount Pictures","Action"
"Action_2000_23","Taxi 2","Lionsgate","Action"
"Action_2000_24","Blue Streak","Sony Pictures","Action"
"Action_2000_25","The Omega Code","Providence Entert…","Action"
"Action_2000_26","El Circulo Vicioso","","Action"
"Action_2000_27","The Boondock Saints","Indican Pictures","Action"
"Action_2000_28","Pups","","Action"
"Action_2001_1","Rush Hour 2","New Line","Action"
"Action_2001_2","Pearl Harbor","Walt Disney","Action"
"Action_2001_3","Jurassic Park III","Universal","Action"
"Action_2001_4","The Fast and the Furious","Universal","Action"
"Action_2001_5","Crouching Tiger, Hidden Dragon","Sony Pictures Cla…","Action"
"Action_2001_6","Swordfish","Warner Bros.","Action"
"Action_2001_7","The Mexican","Dreamworks SKG","Action"
"Action_2001_8","Spy Game","Universal","Action"
